census_block_id,state_code,state,state_name,county_code,county,tract,block_group,congressional_district,incorporated_place,unified_school_district,legislative_district_upper,legislative_district_lower,voting_district
440010301001000,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001001,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001002,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001003,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001004,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001005,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001006,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001007,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001008,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001009,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001010,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001011,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001012,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001013,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001014,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001015,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001016,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001017,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001018,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001019,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001020,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001021,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001022,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001023,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001024,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001025,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001026,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001027,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001028,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001029,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001030,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001031,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001032,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001033,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001034,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001035,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001036,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001037,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001038,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001039,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001040,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301001041,44,RI,Rhode Island,1,Bristol County,30100,1,01,NA,30,032,066,440101
440010301002000,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002001,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002002,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002003,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002004,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002005,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002006,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002007,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002008,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002009,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002010,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002011,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002012,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002013,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002014,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002015,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002016,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002017,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002018,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002019,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002020,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002021,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002022,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002023,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002024,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002025,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440102
440010301002026,44,RI,Rhode Island,1,Bristol County,30100,2,01,NA,30,032,066,440103
440010301003000,44,RI,Rhode Island,1,Bristol County,30100,3,01,NA,30,032,066,440102
440010301003001,44,RI,Rhode Island,1,Bristol County,30100,3,01,NA,30,032,066,440102
440010301003002,44,RI,Rhode Island,1,Bristol County,30100,3,01,NA,30,032,066,440102
440010301003003,44,RI,Rhode Island,1,Bristol County,30100,3,01,NA,30,032,066,440102
440010301003004,44,RI,Rhode Island,1,Bristol County,30100,3,01,NA,30,032,066,440102
440010301003005,44,RI,Rhode Island,1,Bristol County,30100,3,01,NA,30,032,066,440102
440010301003006,44,RI,Rhode Island,1,Bristol County,30100,3,01,NA,30,032,066,440102
440010301003007,44,RI,Rhode Island,1,Bristol County,30100,3,01,NA,30,032,066,440102
440010301003008,44,RI,Rhode Island,1,Bristol County,30100,3,01,NA,30,032,066,440102
440010301003009,44,RI,Rhode Island,1,Bristol County,30100,3,01,NA,30,032,066,440102
440010301003010,44,RI,Rhode Island,1,Bristol County,30100,3,01,NA,30,032,066,440102
440010301003011,44,RI,Rhode Island,1,Bristol County,30100,3,01,NA,30,032,066,440102
440010301003012,44,RI,Rhode Island,1,Bristol County,30100,3,01,NA,30,032,066,440102
440010301003013,44,RI,Rhode Island,1,Bristol County,30100,3,01,NA,30,032,066,440102
440010301003014,44,RI,Rhode Island,1,Bristol County,30100,3,01,NA,30,032,066,440102
440010301003015,44,RI,Rhode Island,1,Bristol County,30100,3,01,NA,30,032,066,440102
440010301003016,44,RI,Rhode Island,1,Bristol County,30100,3,01,NA,30,032,066,440102
